appointmentId;customerId;barberId;timeSlot;status
app-4497b833;c-37cf061e;b-da139ce9;2026-05-25T18:00;CANCELLED
app-b44df4c1;c-0d11fc2c;b-100f7e10;2026-06-05T14:00;ACTIVE
app-07679608;c-99245085;b-100f7e10;2026-05-21T10:00;PAST
app-8d38b0fa;c-0d11fc2c;b-8fc7a95d;2026-05-25T10:00;CANCELLED
app-60eebc82;c-0d11fc2c;b-da139ce9;2026-05-29T14:00;PAST
app-c93a952b;c-0d11fc2c;b-100f7e10;2026-06-06T18:00;ACTIVE
app-92cec56b;c-0d11fc2c;b-100f7e10;2026-06-06T12:00;CANCELLED
app-537cd67a;c-99245085;b-5a646604;2026-05-21T12:00;PAST
app-a8fd0d97;c-0d11fc2c;b-da139ce9;2026-05-23T18:00;PAST
app-da093dd3;c-37cf061e;b-be3996e6;2026-05-21T16:00;PAST
app-20112c8b;c-a6796894;b-be3996e6;2026-05-30T21:00;PAST
app-b988698a;c-37cf061e;b-be3996e6;2026-05-21T15:00;PAST
app-e9c0c93d;c-247d96a3;b-5a646604;2026-05-22T11:00;CANCELLED
app-8981b9c2;c-4ad10118;b-da139ce9;2026-05-21T13:00;CANCELLED
app-ec6032e2;c-0d11fc2c;b-da139ce9;2026-05-28T17:00;PAST
app-b2fe35cd;c-0d11fc2c;b-da139ce9;2026-05-23T18:00;CANCELLED
app-940783ce;c-0d11fc2c;b-da139ce9;2026-05-25T20:00;CANCELLED
app-0bdff0cf;c-0d11fc2c;b-da139ce9;2026-05-26T11:00;CANCELLED
app-ab6eee16;c-0d11fc2c;b-100f7e10;2026-05-25T17:00;PAST
